"","component","grpvar","term","grp","condval","condsd"
"cond.91","cond","variable:Microbe_treatment","(Intercept)","ASV0012:MEM",0.685802209108261,1.21259424202622
"cond.92","cond","variable:Microbe_treatment","(Intercept)","ASV0012:MMO",3.28011202551335,1.31760747817747
"cond.93","cond","variable:Microbe_treatment","(Intercept)","ASV0015:EMO",1.72531864229814,1.28012435493729
"cond.94","cond","variable:Microbe_treatment","(Intercept)","ASV0015:MEM",0.412196191999336,1.29212857937046
"cond.95","cond","variable:Microbe_treatment","(Intercept)","ASV0015:MMO",-0.448079229122352,2.02672566595536
"cond.96","cond","variable:Microbe_treatment","(Intercept)","ASV0016:EMO",2.02794684140097,1.24635242227793
"cond.97","cond","variable:Microbe_treatment","(Intercept)","ASV0016:MEM",2.07628952259548,1.24471069599363
"cond.98","cond","variable:Microbe_treatment","(Intercept)","ASV0016:MMO",-1.20520378941623,1.75918784234064
"cond.99","cond","variable:Microbe_treatment","(Intercept)","ASV0017:EMO",-0.677601339386819,1.24111603719166
"cond.100","cond","variable:Microbe_treatment","(Intercept)","ASV0017:MEM",-0.359024834680418,1.23491057527197
"cond.101","cond","variable:Microbe_treatment","(Intercept)","ASV0017:MMO",0.53877934699955,1.38078117436331
"cond.102","cond","variable:Microbe_treatment","(Intercept)","ASV0020:EMO",1.71273742717125,1.27848835941421
"cond.103","cond","variable:Microbe_treatment","(Intercept)","ASV0020:MEM",1.48297504550063,1.27802525614508
"cond.104","cond","variable:Microbe_treatment","(Intercept)","ASV0020:MMO",-0.561899622917261,1.97072583892095
"cond.105","cond","variable:Microbe_treatment","(Intercept)","ASV0021:EMO",-0.385459311061322,1.35361578315003
"cond.106","cond","variable:Microbe_treatment","(Intercept)","ASV0021:MEM",-0.517862896908981,1.3559314244859
"cond.107","cond","variable:Microbe_treatment","(Intercept)","ASV0021:MMO",-0.548197942864603,1.98461936900094
"cond.108","cond","variable:Microbe_treatment","(Intercept)","ASV0022:EMO",1.62557677355258,1.264780608329
"cond.109","cond","variable:Microbe_treatment","(Intercept)","ASV0022:MEM",1.12184366113606,1.26595579900372
"cond.110","cond","variable:Microbe_treatment","(Intercept)","ASV0022:MMO",-0.677729490819784,1.91954794363589
"cond.111","cond","variable:Microbe_treatment","(Intercept)","ASV0023:EMO",-0.783249987002819,1.34411026269336
"cond.112","cond","variable:Microbe_treatment","(Intercept)","ASV0023:MEM",0.828225180714335,1.29841514623334
"cond.113","cond","variable:Microbe_treatment","(Intercept)","ASV0023:MMO",-0.799184725322608,1.88746233059455
"cond.114","cond","variable:Microbe_treatment","(Intercept)","ASV0024:EMO",1.66341036757672,1.28155680066213
"cond.115","cond","variable:Microbe_treatment","(Intercept)","ASV0024:MEM",1.1720910708551,1.28290793174879
"cond.116","cond","variable:Microbe_treatment","(Intercept)","ASV0024:MMO",-0.489337518281175,2.00569180693398
"cond.117","cond","variable:Microbe_treatment","(Intercept)","ASV0025:EMO",0.335334320403033,1.27355959865935
"cond.118","cond","variable:Microbe_treatment","(Intercept)","ASV0025:MEM",0.0478891636026002,1.27584923840084
"cond.119","cond","variable:Microbe_treatment","(Intercept)","ASV0025:MMO",-1.36459327500512,1.74540694507374
"cond.120","cond","variable:Microbe_treatment","(Intercept)","ASV0027:EMO",-4.58859260017892,1.46803792296802
"cond.121","cond","variable:Microbe_treatment","(Intercept)","ASV0027:MEM",-0.145176212969971,1.21968258420526
"cond.122","cond","variable:Microbe_treatment","(Intercept)","ASV0027:MMO",4.72401870325112,1.26321197359533
"cond.123","cond","variable:Microbe_treatment","(Intercept)","ASV0036:EMO",1.25032778899154,1.37259433725794
"cond.124","cond","variable:Microbe_treatment","(Intercept)","ASV0036:MEM",1.42206692434421,1.3635996214749
"cond.125","cond","variable:Microbe_treatment","(Intercept)","ASV0036:MMO",-0.0928519954023091,2.28685825439763
"cond.126","cond","variable:Microbe_treatment","(Intercept)","ASV0037:EMO",-1.38860629305312,1.37667934087628
"cond.127","cond","variable:Microbe_treatment","(Intercept)","ASV0037:MEM",-0.892674778703675,1.32174046641792
"cond.128","cond","variable:Microbe_treatment","(Intercept)","ASV0037:MMO",4.65257603344852,1.35206799495235
"cond.129","cond","variable:Microbe_treatment","(Intercept)","ASV0039:EMO",0.495748795444318,1.26128278163493
"cond.130","cond","variable:Microbe_treatment","(Intercept)","ASV0039:MEM",0.746167486860399,1.25484361214086
"cond.131","cond","variable:Microbe_treatment","(Intercept)","ASV0039:MMO",-1.21925212973081,1.77112456124061
"cond.132","cond","variable:Microbe_treatment","(Intercept)","ASV0040:EMO",0.053791093664564,1.30813285396716
"cond.133","cond","variable:Microbe_treatment","(Intercept)","ASV0040:MEM",-0.933436865944101,1.33628947653981
"cond.134","cond","variable:Microbe_treatment","(Intercept)","ASV0040:MMO",-0.820966853431844,1.87931987009371
"cond.135","cond","variable:Microbe_treatment","(Intercept)","ASV0042:EMO",1.61226577100951,1.29700781654805
"cond.136","cond","variable:Microbe_treatment","(Intercept)","ASV0042:MEM",1.00647821754794,1.30183753820426
"cond.137","cond","variable:Microbe_treatment","(Intercept)","ASV0042:MMO",-0.360665275331351,2.07842004259322
"cond.138","cond","variable:Microbe_treatment","(Intercept)","ASV0044:EMO",0.299671704185369,1.30150401088235
"cond.139","cond","variable:Microbe_treatment","(Intercept)","ASV0044:MEM",0.333709052790652,1.29843547626796
"cond.140","cond","variable:Microbe_treatment","(Intercept)","ASV0044:MMO",-0.93186217399821,1.84521154838409
