Short_label,Longer_name,Sample_type,Num_larvae,Date_collected,Exp_day,Mesocosm_id,Mesocosm_treatment,Microbe_treatment,Food_type,Mesocosm_type,Treatment_notes,Notes,Raw_reads
WL16,W_D5_L_EMO+,Water,,6/27/23,5,L_EMO+,L_EMO+,EMO,Larval food,Additional control,No larvae - environmental microbes,,113153
WL3,W_D5_L_food,Water,,6/27/23,5,L_food,L_food,None_food,Larval food,Additional control,Food only,,1121
WL1,W_D5_L_larvae,Water,,6/27/23,5,L_larvae,L_larvae,None_larvae,Larval food,Additional control,Larvae & food only,,88708
WL23,W_D5_L_MEM.1,Water,,6/27/23,5,L_MEM.1,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,,77744
WL24,W_D5_L_MEM.2,Water,,6/27/23,5,L_MEM.2,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,,119945
WL25,W_D5_L_MEM.3,Water,,6/27/23,5,L_MEM.3,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,,171802
WL26,W_D5_L_MEM.4,Water,,6/27/23,5,L_MEM.4,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,,130957
WL27,W_D5_L_MEM.5,Water,,6/27/23,5,L_MEM.5,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,,161014
WL28,W_D5_L_MEM+,Water,,6/27/23,5,L_MEM+,L_MEM+,MEM,Larval food,Additional control,No larvae - mosquito & environmental microbes,,170049
WL5,W_D5_L_MMO.1,Water,,6/27/23,5,L_MMO.1,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,,128296
WL6,W_D5_L_MMO.2,Water,,6/27/23,5,L_MMO.2,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,,92704
WL7,W_D5_L_MMO.3,Water,,6/27/23,5,L_MMO.3,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,,137202
WL8,W_D5_L_MMO.4,Water,,6/27/23,5,L_MMO.4,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,,117557
WL9,W_D5_L_MMO.5,Water,,6/27/23,5,L_MMO.5,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,,77045
WL10,W_D5_L_MMO+,Water,,6/27/23,5,L_MMO+,L_MMO+,MMO,Larval food,Additional control,No larvae - mosquito microbes,,213471
WB1,W_D5_Lab_water,Water,,6/27/23,5,Lab_water,Lab_water,None_labwater,Lab water,Lab water,Lab water,Sterile/autoclaved water from 06/22/23,63140
LH1,L_D6_Hatch_flask,Larvae,10,6/28/23,6,Hatch_flask,Hatch_flask,None_hatch,Hatching flask,Hatching flask,Hatching flask,This sample tube contains extra L1 larvae prepared a day after in case the first tube (the one with issues with L1s sticking to the tube walls) was not enough.,70837
LB2,L_D8_B_AHK.1,Larvae,5,6/30/23,8,B_AHK.1,B_AHK,AHK,Bamboo,Experiment,All heat-killed microbes,,33655
LB23,L_D8_B_ALL.1,Larvae,5,6/30/23,8,B_ALL.1,B_ALL,ALL,Bamboo,Experiment,All live microbes,,73665
LB24,L_D8_B_ALL.2,Larvae,5,6/30/23,8,B_ALL.2,B_ALL,ALL,Bamboo,Experiment,All live microbes,,36399
LB25,L_D8_B_ALL.3,Larvae,5,6/30/23,8,B_ALL.3,B_ALL,ALL,Bamboo,Experiment,All live microbes,,66744
LB26,L_D8_B_ALL.4,Larvae,5,6/30/23,8,B_ALL.4,B_ALL,ALL,Bamboo,Experiment,All live microbes,,60546
LB27,L_D8_B_ALL.5,Larvae,5,6/30/23,8,B_ALL.5,B_ALL,ALL,Bamboo,Experiment,All live microbes,,66531
LB13,L_D8_B_ECO.1,Larvae,5,6/30/23,8,B_ECO.1,B_ECO,ECO,Bamboo,Experiment,E. coli only,,3440
LB14,L_D8_B_ECO.2,Larvae,5,6/30/23,8,B_ECO.2,B_ECO,ECO,Bamboo,Experiment,E. coli only,,4158
LB15,L_D8_B_ECO.3,Larvae,5,6/30/23,8,B_ECO.3,B_ECO,ECO,Bamboo,Experiment,E. coli only,,12836
LB16,L_D8_B_ECO.4,Larvae,5,6/30/23,8,B_ECO.4,B_ECO,ECO,Bamboo,Experiment,E. coli only,,13301
LB17,L_D8_B_ECO.5,Larvae,5,6/30/23,8,B_ECO.5,B_ECO,ECO,Bamboo,Experiment,E. coli only,,8468
LB8,L_D8_B_EMO.1,Larvae,5,6/30/23,8,B_EMO.1,B_EMO,EMO,Bamboo,Experiment,Environmental microbes only,,43588
LB9,L_D8_B_EMO.2,Larvae,5,6/30/23,8,B_EMO.2,B_EMO,EMO,Bamboo,Experiment,Environmental microbes only,,40579
LB10,L_D8_B_EMO.3,Larvae,5,6/30/23,8,B_EMO.3,B_EMO,EMO,Bamboo,Experiment,Environmental microbes only,,76367
