"","OTU","Sample","Abundance","Short_label","Longer_name","Sample_type","Num_larvae","Date_collected","Exp_day","Mesocosm_id","Mesocosm_treatment","Microbe_treatment","Food_type","Mesocosm_type","Treatment_notes","Notes","Raw_reads","Num_larvae_d00","Num_larvae_d08","Num_larvae_d34","Num_larvae_d40","Total_pupae","Proportion_pupated","Biomass_day30","Biomass_day40","lib_size_clean","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species","id","sequence","likely_source"
"40","ASV0030","LB13",0,"LB13","L_D8_B_ECO.1","Larvae",5,"6/30/23",8,"B_ECO.1","B_ECO","ECO","Bamboo","Experiment","E. coli only","",3440,20,14,7,7,0,0,0,0,3154,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",NA,NA,NA,NA
"41","ASV0001","LB14",0.771168938455184,"LB14","L_D8_B_ECO.2","Larvae",5,"6/30/23",8,"B_ECO.2","B_ECO","ECO","Bamboo","Experiment","E. coli only","",4158,20,15,9,7,0,0,0,0,3743,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia",NA,NA,NA,NA
"42","ASV0003","LB14",0,"LB14","L_D8_B_ECO.2","Larvae",5,"6/30/23",8,"B_ECO.2","B_ECO","ECO","Bamboo","Experiment","E. coli only","",4158,20,15,9,7,0,0,0,0,3743,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia",NA,NA,NA,NA
"43","ASV0005","LB14",0,"LB14","L_D8_B_ECO.2","Larvae",5,"6/30/23",8,"B_ECO.2","B_ECO","ECO","Bamboo","Experiment","E. coli only","",4158,20,15,9,7,0,0,0,0,3743,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,NA,NA,NA
"44","ASV0006","LB14",0,"LB14","L_D8_B_ECO.2","Larvae",5,"6/30/23",8,"B_ECO.2","B_ECO","ECO","Bamboo","Experiment","E. coli only","",4158,20,15,9,7,0,0,0,0,3743,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Rhodoblastus",NA,NA,NA,NA
"45","ASV0007","LB14",0,"LB14","L_D8_B_ECO.2","Larvae",5,"6/30/23",8,"B_ECO.2","B_ECO","ECO","Bamboo","Experiment","E. coli only","",4158,20,15,9,7,0,0,0,0,3743,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Aquitalea",NA,NA,NA,NA
"46","ASV0008","LB14",0,"LB14","L_D8_B_ECO.2","Larvae",5,"6/30/23",8,"B_ECO.2","B_ECO","ECO","Bamboo","Experiment","E. coli only","",4158,20,15,9,7,0,0,0,0,3743,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA,NA,NA,NA
"47","ASV0009","LB14",0,"LB14","L_D8_B_ECO.2","Larvae",5,"6/30/23",8,"B_ECO.2","B_ECO","ECO","Bamboo","Experiment","E. coli only","",4158,20,15,9,7,0,0,0,0,3743,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter",NA,NA,NA,NA
"48","ASV0011","LB14",0,"LB14","L_D8_B_ECO.2","Larvae",5,"6/30/23",8,"B_ECO.2","B_ECO","ECO","Bamboo","Experiment","E. coli only","",4158,20,15,9,7,0,0,0,0,3743,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA,NA,NA,NA
"49","ASV0013","LB14",0,"LB14","L_D8_B_ECO.2","Larvae",5,"6/30/23",8,"B_ECO.2","B_ECO","ECO","Bamboo","Experiment","E. coli only","",4158,20,15,9,7,0,0,0,0,3743,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia",NA,NA,NA,NA
"50","ASV0030","LB14",0,"LB14","L_D8_B_ECO.2","Larvae",5,"6/30/23",8,"B_ECO.2","B_ECO","ECO","Bamboo","Experiment","E. coli only","",4158,20,15,9,7,0,0,0,0,3743,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",NA,NA,NA,NA
"51","ASV0001","LB15",0.00403013842649378,"LB15","L_D8_B_ECO.3","Larvae",5,"6/30/23",8,"B_ECO.3","B_ECO","ECO","Bamboo","Experiment","E. coli only","",12836,20,18,5,4,0,0,0,0,11442,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia",NA,NA,NA,NA
