"","ASV0004","ASV0007","ASV0009","ASV0010","ASV0012","ASV0016","ASV0017","ASV0022","ASV0025","ASV0051","ASV0059","ASV0063","ASV0066","ASV0069","ASV0072","ASV0093","ASV0095","ASV0102","ASV0105","ASV0111","ASV0116","ASV0117","ASV0123","ASV0146","ASV0155","ASV0162","ASV0167","ASV0175","ASV0179","ASV0180","ASV0218","ASV0238","ASV0239","ASV0277","ASV0278","ASV0281","ASV0282","ASV0286","ASV0311","ASV0322","ASV0333","ASV0338","ASV0368","ASV0383","ASV0386","ASV0398","ASV0412","ASV0432","ASV0433","ASV0436","ASV0466","ASV0474","ASV0521","ASV0527","ASV0528","ASV0534","ASV0545","ASV0578","ASV0580","ASV0583","ASV0613","ASV0634","ASV0665","ASV0752","ASV0786","ASV0868","ASV0938"
"LL27",0.0118141949342164,0.0560407103860071,0.152766234928591,0.0363887432714068,0.00168774213345949,0.0016110265819386,0,0,0,0,0.0144480955364335,0,0.00297912058406107,0,0,0,0.00255718505069619,0,0,0.00196903248903607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL3",0,0.198038278070002,0.032761456012876,0,0.0522737080276647,0,0,0,0,0,0,0,0,0,0,0,0,0.00274081244678742,0.00251921484470673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL4",0,0.0848077565060888,0.00200298997053573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00184333134969592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL5",0,0.0323217954796902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00310837152942416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL6",0,0.048829078435253,0.0034434989115377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159641137278185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL7",0,0.377242439774475,0.010495228332235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185497058895316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL8",0,0.0737677303934666,0.0380223278075301,0.03469987569847,0.0013475679882901,0.00167284301994633,0,0,0,0.00174254481244409,0.0201205841010211,0,0.023594056760493,0,0,0,0.00110361171454793,0,0,0.00146373764245304,0,0,0,0,0,0,0,0,0,0,0.00180062963952556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL9",0.0144652968944619,0.00597661687897089,0.0370110635447304,0.0179089167774417,0.00296214111514669,0.0605721223793425,0,0,0,0.00198871664974513,0.022577167439475,0,0.00390416479134176,0,0,0,0,0.00253299699599117,0,0,0,0,0,0,0,0,0.00123509770878908,0,0,0,0.00800720124765802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3",0.00272922899280953,0.00716422610612502,0.0120715897758883,0.0017582532934446,0.19209573295544,0.034509001207159,0.0911667453944261,0.00364771951923582,0.00272922899280953,0.00729543903847163,0.00196819398519918,0.0045662100456621,0.00183698105285257,0.00482863591035532,0.0086600535348764,0.00356899175982785,0.0145646354904739,0.00288668451162547,0.00149582742875138,0.0101821235500971,0.00511730436151787,0.00448748228625413,0.0145121503175353,0.00548470057208838,0.0581273290295492,0.00469742297800871,0.00566839867737364,0.00170576812050596,0.00141709966934341,0.00154831260169002,0.0284469637327455,0.0088962368131003,0.0673647194667506,0.00301789744397208,0.0219388022883535,0.00645567627145331,0.027922112003359,0.0145646354904739,0.004802393323886,0.0239857240329607,0.0100771532042198,0.00955230147483336,0.00157455518815934,0.00144334225581273,0.0023355901957697,0.0356111898388705,0.00183698105285257,0.00367396210570514,0.0109956437306461,0.00162704036109799,0.0101296383771585,0.0180548994908938,0.00144334225581273,0.0084238702566525,0.00230934760930037,0.00629822075263738,0.00341153624101191,0.00674434472261586,0.00267674381987089,0.00758410748963418,0.00926363302367081,0.00388390279745972,0.00446123969978481,0.00262425864693224,0.00299165485750276,0.00167952553403663,0.00149582742875138
"N4",0,0.762987012987013,0.0465367965367965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCR-POS-1",0,0,0,0,0,0.174939177808738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
