"","component","grpvar","term","grp","condval","condsd"
"cond.105","cond","variable:Microbe_treatment","(Intercept)","ASV0012:ALL",0.55968949891234,1.05696921794466
"cond.106","cond","variable:Microbe_treatment","(Intercept)","ASV0012:ECO",-0.146079197437476,1.83494209583079
"cond.107","cond","variable:Microbe_treatment","(Intercept)","ASV0012:EMO",-0.544185052641184,1.11986856706019
"cond.108","cond","variable:Microbe_treatment","(Intercept)","ASV0012:MEM",0.0360304733220002,1.04740591481455
"cond.109","cond","variable:Microbe_treatment","(Intercept)","ASV0012:MMO",0.372632072221257,1.23265717483885
"cond.110","cond","variable:Microbe_treatment","(Intercept)","ASV0013:ALL",1.11172456711799,1.01420618846987
"cond.111","cond","variable:Microbe_treatment","(Intercept)","ASV0013:ECO",-0.463443600057288,1.66144707279969
"cond.112","cond","variable:Microbe_treatment","(Intercept)","ASV0013:EMO",1.94730339376976,1.01064086597866
"cond.113","cond","variable:Microbe_treatment","(Intercept)","ASV0013:MEM",0.875602728406403,1.00696237907292
"cond.114","cond","variable:Microbe_treatment","(Intercept)","ASV0013:MMO",-2.30730260843295,1.31797461626966
"cond.115","cond","variable:Microbe_treatment","(Intercept)","ASV0016:ALL",0.397730824859533,1.09862911698982
"cond.116","cond","variable:Microbe_treatment","(Intercept)","ASV0016:ECO",-0.128632341554905,1.8479703337714
"cond.117","cond","variable:Microbe_treatment","(Intercept)","ASV0016:EMO",0.323590608030932,1.10200114950887
"cond.118","cond","variable:Microbe_treatment","(Intercept)","ASV0016:MEM",0.741280396572888,1.04875449450332
"cond.119","cond","variable:Microbe_treatment","(Intercept)","ASV0016:MMO",-1.00928482751073,1.48948324685088
"cond.120","cond","variable:Microbe_treatment","(Intercept)","ASV0019:ALL",-0.88078003202241,1.19140639556278
"cond.121","cond","variable:Microbe_treatment","(Intercept)","ASV0019:ECO",-0.0610848692657817,1.90164983701763
"cond.122","cond","variable:Microbe_treatment","(Intercept)","ASV0019:EMO",3.96384246268445,1.03728749557159
"cond.123","cond","variable:Microbe_treatment","(Intercept)","ASV0019:MEM",-0.338783706256606,1.09290780332305
"cond.124","cond","variable:Microbe_treatment","(Intercept)","ASV0019:MMO",-0.792922585726972,1.53622601609316
"cond.125","cond","variable:Microbe_treatment","(Intercept)","ASV0024:ALL",1.29464591435985,0.994717147254275
"cond.126","cond","variable:Microbe_treatment","(Intercept)","ASV0024:ECO",-0.29462904559455,1.74063126417764
"cond.127","cond","variable:Microbe_treatment","(Intercept)","ASV0024:EMO",1.1848023995817,1.00059771500395
"cond.128","cond","variable:Microbe_treatment","(Intercept)","ASV0024:MEM",0.535716243519824,0.993167866321862
"cond.129","cond","variable:Microbe_treatment","(Intercept)","ASV0024:MMO",-1.58192437890857,1.37861918054682
"cond.130","cond","variable:Microbe_treatment","(Intercept)","ASV0027:ALL",0.550980099012692,1.01688879186369
"cond.131","cond","variable:Microbe_treatment","(Intercept)","ASV0027:ECO",-0.239542707830016,1.77293882625373
"cond.132","cond","variable:Microbe_treatment","(Intercept)","ASV0027:EMO",-2.67104261526874,1.27940202666508
"cond.133","cond","variable:Microbe_treatment","(Intercept)","ASV0027:MEM",0.392518437732352,1.00284424758052
"cond.134","cond","variable:Microbe_treatment","(Intercept)","ASV0027:MMO",3.37582497312491,1.01232537179559
"cond.135","cond","variable:Microbe_treatment","(Intercept)","ASV0030:ALL",-1.86048848659469,1.34707573455292
"cond.136","cond","variable:Microbe_treatment","(Intercept)","ASV0030:ECO",6.42824871578903,1.14339613586479
"cond.137","cond","variable:Microbe_treatment","(Intercept)","ASV0030:EMO",-2.10176263776745,1.3372478090101
"cond.138","cond","variable:Microbe_treatment","(Intercept)","ASV0030:MEM",-1.5586727620368,1.17176696110216
"cond.139","cond","variable:Microbe_treatment","(Intercept)","ASV0030:MMO",-0.99949881090799,1.48962381120689
"cond.140","cond","variable:Microbe_treatment","(Intercept)","ASV0032:ALL",-0.64087349479307,1.0557614966153
"cond.141","cond","variable:Microbe_treatment","(Intercept)","ASV0032:ECO",-0.301300389315296,1.73818273105786
"cond.142","cond","variable:Microbe_treatment","(Intercept)","ASV0032:EMO",-2.87436608658642,1.28095990929497
"cond.143","cond","variable:Microbe_treatment","(Intercept)","ASV0032:MEM",-0.0188753272627241,1.02771305039552
"cond.144","cond","variable:Microbe_treatment","(Intercept)","ASV0032:MMO",3.94743534726541,1.03659047000362
"cond.145","cond","variable:Microbe_treatment","(Intercept)","ASV0033:ALL",1.35408999270565,1.01307517303763
"cond.146","cond","variable:Microbe_treatment","(Intercept)","ASV0033:ECO",-0.125254908041492,1.84962707622404
