"","Short_label","Longer_name","Sample_type","Num_larvae","Date_collected","Exp_day","Mesocosm_id","Mesocosm_treatment","Microbe_treatment","Food_type","Mesocosm_type","Treatment_notes","Notes","Raw_reads","Num_larvae_d00","Num_larvae_d08","Num_larvae_d34","Num_larvae_d40","Total_pupae","Proportion_pupated","Biomass_day30","Biomass_day40","lib_size_clean","is.neg"
"LL5","LL5","L_D8_L_MMO.3","Larvae",5,"6/30/23",8,"L_MMO.3","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",44031,20,5,0,0,17,0.85,13.026,13.026,37962,FALSE
"LL6","LL6","L_D8_L_MMO.4","Larvae",5,"6/30/23",8,"L_MMO.4","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",90456,20,6,0,0,22,1.1,18.46,18.46,75795,FALSE
"LL7","LL7","L_D8_L_MMO.5","Larvae",5,"6/30/23",8,"L_MMO.5","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",47330,20,5,0,0,10,0.5,7.375,7.375,40971,FALSE
"LL8","LL8","L_D8_L_EMO.1","Larvae",5,"6/30/23",8,"L_EMO.1","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",101732,20,7,0,0,5,0.25,2.51,2.51,86282,FALSE
"LL9","LL9","L_D8_L_EMO.2","Larvae",5,"6/30/23",8,"L_EMO.2","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",111660,20,7,0,0,7,0.35,6.057,6.057,95539,FALSE
"M1","M1","M_D0_Microbe_stock_ecoli","Microbe Stock",NA,"6/22/23",0,"Microbe_stock_ecoli","Microbe_stock_ecoli","E. coli","Microbe stock","Microbe stock","E. coli stock","",63554,NA,NA,NA,NA,NA,NA,NA,NA,55311,FALSE
"M2","M2","M_D0_Microbe_stock_mosq","Microbe Stock",NA,"6/22/23",0,"Microbe_stock_mosq","Microbe_stock_mosq","Mosquito microbes","Microbe stock","Microbe stock","Mosquito microbes stock","",31740,NA,NA,NA,NA,NA,NA,NA,NA,22771,FALSE
"M3","M3","M_D0_Microbe_stock_brom","Microbe Stock",NA,"6/22/23",0,"Microbe_stock_brom","Microbe_stock_brom","Env. microbes","Microbe stock","Microbe stock","Environmental microbes stock","",62671,NA,NA,NA,NA,NA,NA,NA,NA,38106,FALSE
"N1","N1","N_Negative1","Negative",NA,"",NA,"Negative","Negative","Negative","Negative","Negative","Negative","",481,NA,NA,NA,NA,NA,NA,NA,NA,274,TRUE
"N2","N2","N_Negative2","Negative",NA,"",NA,"Negative","Negative","Negative","Negative","Negative","Negative","",1292,NA,NA,NA,NA,NA,NA,NA,NA,931,TRUE
