Short_label,Longer_name,Sample_type,Num_larvae,Date_collected,Exp_day,Mesocosm_id,Mesocosm_treatment,Microbe_treatment,Food_type,Mesocosm_type,Treatment_notes,Num_larvae_d00,Num_larvae_d08,Num_larvae_d34,Num_larvae_d40,Total_pupae,Proportion_pupated,Biomass_day30,Biomass_day40,16S_raw_reads,SSU_raw_reads,metagenomes,MG_raw_reads,Notes
LB13,L_D8_B_ECO.1,Larvae,5,6/30/23,8,B_ECO.1,B_ECO,ECO,Bamboo,Experiment,E. coli only,20,14,7,7,0,0,0,0,3440,13697,no,NA,
LB14,L_D8_B_ECO.2,Larvae,5,6/30/23,8,B_ECO.2,B_ECO,ECO,Bamboo,Experiment,E. coli only,20,15,9,7,0,0,0,0,4158,8610,no,NA,
LB15,L_D8_B_ECO.3,Larvae,5,6/30/23,8,B_ECO.3,B_ECO,ECO,Bamboo,Experiment,E. coli only,20,18,5,4,0,0,0,0,12836,578,no,NA,
LB16,L_D8_B_ECO.4,Larvae,5,6/30/23,8,B_ECO.4,B_ECO,ECO,Bamboo,Experiment,E. coli only,20,17,7,6,0,0,0,0,13301,7030,no,NA,
LB17,L_D8_B_ECO.5,Larvae,5,6/30/23,8,B_ECO.5,B_ECO,ECO,Bamboo,Experiment,E. coli only,20,18,6,4,0,0,0,0,8468,3215,no,NA,
LB8,L_D8_B_EMO.1,Larvae,5,6/30/23,8,B_EMO.1,B_EMO,EMO,Bamboo,Experiment,Environmental microbes only,20,20,12,1,15,0.75,0.401,3.949,43588,20852,no,NA,
LB9,L_D8_B_EMO.2,Larvae,5,6/30/23,8,B_EMO.2,B_EMO,EMO,Bamboo,Experiment,Environmental microbes only,20,18,5,5,0,0,0,0,40579,7854,yes,,
LB10,L_D8_B_EMO.3,Larvae,5,6/30/23,8,B_EMO.3,B_EMO,EMO,Bamboo,Experiment,Environmental microbes only,20,15,12,8,4,0.2,0.621,0.621,76367,50,yes,,
LB11,L_D8_B_EMO.4,Larvae,5,6/30/23,8,B_EMO.4,B_EMO,EMO,Bamboo,Experiment,Environmental microbes only,20,16,11,9,3,0.15,0.308,0.308,22627,87889,yes,,
LB12,L_D8_B_EMO.5,Larvae,5,6/30/23,8,B_EMO.5,B_EMO,EMO,Bamboo,Experiment,Environmental microbes only,20,15,0,0,18,0.9,3.16,4.085,15378,53857,yes,,
