"","component","grpvar","term","grp","condval","condsd"
"cond.326","cond","variable","(Intercept)","K00588",0.767063253017356,0.696542777671956
"cond.327","cond","variable","(Intercept)","K00590",0.240635308242363,0.700455598950012
"cond.328","cond","variable","(Intercept)","K00591",-2.06525347795236,0.744766125790116
"cond.329","cond","variable","(Intercept)","K00594",-0.989082574012225,0.717131034649342
"cond.330","cond","variable","(Intercept)","K00595",0.542631415916375,0.697782301313468
"cond.331","cond","variable","(Intercept)","K00596",-2.04506485627028,0.745044635889235
"cond.332","cond","variable","(Intercept)","K00598",0.87169217221179,0.69609392722185
"cond.333","cond","variable","(Intercept)","K00600",1.66076578332935,0.694026073228717
"cond.334","cond","variable","(Intercept)","K00602",1.77460193299283,0.693835337051338
"cond.335","cond","variable","(Intercept)","K00604",1.46850535602503,0.694351684597422
"cond.336","cond","variable","(Intercept)","K00605",1.70925697492794,0.694034694477173
"cond.337","cond","variable","(Intercept)","K00606",1.06921041728562,0.695440239572829
"cond.338","cond","variable","(Intercept)","K00609",1.38802899638281,0.694626957640779
"cond.339","cond","variable","(Intercept)","K00610",-0.198215029782878,0.702793783767728
"cond.340","cond","variable","(Intercept)","K00611",1.47381466955307,0.694384842674208
"cond.341","cond","variable","(Intercept)","K00612",0.287902281323432,0.699903217365604
"cond.342","cond","variable","(Intercept)","K00613",-0.5509044431308,0.707683136460124
"cond.343","cond","variable","(Intercept)","K00615",2.36890054039223,0.693212781580657
"cond.344","cond","variable","(Intercept)","K00616",1.25036148253531,0.695688996278688
"cond.345","cond","variable","(Intercept)","K00619",0.216089991051022,0.700646052862889
"cond.346","cond","variable","(Intercept)","K00620",1.40593809909448,0.694500611445334
"cond.347","cond","variable","(Intercept)","K00625",0.969246141149474,0.695796288771264
"cond.348","cond","variable","(Intercept)","K00626",2.13961082065196,0.69354157086619
"cond.349","cond","variable","(Intercept)","K00627",2.13204075576996,0.693464809841394
"cond.350","cond","variable","(Intercept)","K00631",0.644377775385485,0.697294560491037
"cond.351","cond","variable","(Intercept)","K00632",1.93735094251625,0.693701731001445
"cond.352","cond","variable","(Intercept)","K00633",-1.88291092946684,0.736194338059787
"cond.353","cond","variable","(Intercept)","K00634",0.797940847281053,0.696803681211312
"cond.354","cond","variable","(Intercept)","K00635",0.0307698194049,0.701431978383445
