"","component","grpvar","term","grp","condval","condsd"
"cond.196","cond","variable:food.microbes","(Intercept)","ASV0016:Larval food_ECO",-0.0510319054071351,6.17394418403484
"cond.197","cond","variable:food.microbes","(Intercept)","ASV0016:Larval food_EMO",5.72371062384769,2.02441177948502
"cond.198","cond","variable:food.microbes","(Intercept)","ASV0016:Larval food_MEM",6.16135215712546,2.00346453240141
"cond.199","cond","variable:food.microbes","(Intercept)","ASV0016:Larval food_MMO",-1.00802866762579,4.57029898282782
"cond.200","cond","variable:food.microbes","(Intercept)","ASV0017:Bamboo_ALL",1.39134452300225,1.91990539749291
"cond.201","cond","variable:food.microbes","(Intercept)","ASV0017:Bamboo_ECO",-0.0128526352022531,6.28843267630033
"cond.202","cond","variable:food.microbes","(Intercept)","ASV0017:Bamboo_EMO",1.3721515797929,1.90134746709592
"cond.203","cond","variable:food.microbes","(Intercept)","ASV0017:Bamboo_MEM",2.22936862946537,1.91123645610845
"cond.204","cond","variable:food.microbes","(Intercept)","ASV0017:Bamboo_MMO",9.44146597039931,2.07570451608686
"cond.205","cond","variable:food.microbes","(Intercept)","ASV0017:Larval food_ALL",-1.91913041496832,4.0311500836868
"cond.206","cond","variable:food.microbes","(Intercept)","ASV0017:Larval food_ECO",-0.00710568905383853,6.30631382829428
"cond.207","cond","variable:food.microbes","(Intercept)","ASV0017:Larval food_EMO",-4.5183498481484,3.15336524649575
"cond.208","cond","variable:food.microbes","(Intercept)","ASV0017:Larval food_MEM",-4.378971565073,3.17312739986839
"cond.209","cond","variable:food.microbes","(Intercept)","ASV0017:Larval food_MMO",-0.278205289135491,5.61408133489561
"cond.210","cond","variable:food.microbes","(Intercept)","ASV0018:Bamboo_ALL",-8.6586328871271,2.77469494404103
"cond.211","cond","variable:food.microbes","(Intercept)","ASV0018:Bamboo_ECO",16.1053291676125,1.9588998111051
"cond.212","cond","variable:food.microbes","(Intercept)","ASV0018:Bamboo_EMO",-8.20587704242989,2.72766040643091
"cond.213","cond","variable:food.microbes","(Intercept)","ASV0018:Bamboo_MEM",-7.89766487672005,2.7625324495262
"cond.214","cond","variable:food.microbes","(Intercept)","ASV0018:Bamboo_MMO",10.0099836807042,2.26276813949607
"cond.215","cond","variable:food.microbes","(Intercept)","ASV0018:Larval food_ALL",-1.71744295772499,4.17937196868433
"cond.216","cond","variable:food.microbes","(Intercept)","ASV0018:Larval food_ECO",-0.00555276693167556,6.31117389246704
"cond.217","cond","variable:food.microbes","(Intercept)","ASV0018:Larval food_EMO",-4.23646853001684,3.26405352867151
"cond.218","cond","variable:food.microbes","(Intercept)","ASV0018:Larval food_MEM",-4.11074543058804,3.27238502294572
"cond.219","cond","variable:food.microbes","(Intercept)","ASV0018:Larval food_MMO",10.268546146626,2.08773802064213
"cond.220","cond","variable:food.microbes","(Intercept)","ASV0020:Bamboo_ALL",0.902405960717086,1.93455200084491
"cond.221","cond","variable:food.microbes","(Intercept)","ASV0020:Bamboo_ECO",-0.0375328077130668,6.21356836114477
"cond.222","cond","variable:food.microbes","(Intercept)","ASV0020:Bamboo_EMO",2.19612041612355,1.91676326866323
"cond.223","cond","variable:food.microbes","(Intercept)","ASV0020:Bamboo_MEM",2.23625317930387,1.93243742886917
"cond.224","cond","variable:food.microbes","(Intercept)","ASV0020:Bamboo_MMO",-1.0106800286339,4.58783443094955
"cond.225","cond","variable:food.microbes","(Intercept)","ASV0020:Larval food_ALL",-2.67675411695113,3.75855579237165
"cond.226","cond","variable:food.microbes","(Intercept)","ASV0020:Larval food_ECO",-0.020975871845251,6.26346510758042
"cond.227","cond","variable:food.microbes","(Intercept)","ASV0020:Larval food_EMO",5.02726686112885,2.04482727925423
"cond.228","cond","variable:food.microbes","(Intercept)","ASV0020:Larval food_MEM",5.11721419222148,2.02286416583004
"cond.229","cond","variable:food.microbes","(Intercept)","ASV0020:Larval food_MMO",-0.601318039837551,5.05685058071538
"cond.230","cond","variable:food.microbes","(Intercept)","ASV0021:Bamboo_ALL",1.90064335663621,2.16146982566758
"cond.231","cond","variable:food.microbes","(Intercept)","ASV0021:Bamboo_ECO",-0.00442136633607187,6.31472381321633
"cond.232","cond","variable:food.microbes","(Intercept)","ASV0021:Bamboo_EMO",1.02339148399437,2.08277951642067
"cond.233","cond","variable:food.microbes","(Intercept)","ASV0021:Bamboo_MEM",1.36682540672518,2.1016198161258
"cond.234","cond","variable:food.microbes","(Intercept)","ASV0021:Bamboo_MMO",-0.2455340708228,5.69647065302483
"cond.235","cond","variable:food.microbes","(Intercept)","ASV0021:Larval food_ALL",-1.23395142596659,4.49917403227025
"cond.236","cond","variable:food.microbes","(Intercept)","ASV0021:Larval food_ECO",-0.00243521540006525,6.32097171363367
"cond.237","cond","variable:food.microbes","(Intercept)","ASV0021:Larval food_EMO",-3.57909270553989,3.45948265758227
"cond.238","cond","variable:food.microbes","(Intercept)","ASV0021:Larval food_MEM",-3.45792519699361,3.47324520089005
"cond.239","cond","variable:food.microbes","(Intercept)","ASV0021:Larval food_MMO",-0.111715117727237,6.00713353024586
"cond.240","cond","variable:food.microbes","(Intercept)","ASV0022:Bamboo_ALL",-0.275598206690737,1.9341294045121
"cond.241","cond","variable:food.microbes","(Intercept)","ASV0022:Bamboo_ECO",-0.0669756082226189,6.12809890925787
"cond.242","cond","variable:food.microbes","(Intercept)","ASV0022:Bamboo_EMO",0.789693406265254,1.91544078915914
"cond.243","cond","variable:food.microbes","(Intercept)","ASV0022:Bamboo_MEM",0.791133009342156,1.93327846486778
"cond.244","cond","variable:food.microbes","(Intercept)","ASV0022:Bamboo_MMO",-1.33495639874247,4.31596925692246
"cond.245","cond","variable:food.microbes","(Intercept)","ASV0022:Larval food_ALL",7.5080260447018,2.54076553787853
"cond.246","cond","variable:food.microbes","(Intercept)","ASV0022:Larval food_ECO",-0.0379019766922888,6.21250491291606
"cond.247","cond","variable:food.microbes","(Intercept)","ASV0022:Larval food_EMO",4.61451808826851,2.04997479735747
"cond.248","cond","variable:food.microbes","(Intercept)","ASV0022:Larval food_MEM",4.33570528987617,2.02565616337348
"cond.249","cond","variable:food.microbes","(Intercept)","ASV0022:Larval food_MMO",-0.855216146073668,4.73653130236948
"cond.250","cond","variable:food.microbes","(Intercept)","ASV0023:Bamboo_ALL",3.61863972618202,2.00553559825839
"cond.251","cond","variable:food.microbes","(Intercept)","ASV0023:Bamboo_ECO",-0.00694315567671173,6.30682133931561
"cond.252","cond","variable:food.microbes","(Intercept)","ASV0023:Bamboo_EMO",1.78422712089758,1.97496572104712
"cond.253","cond","variable:food.microbes","(Intercept)","ASV0023:Bamboo_MEM",3.40400442084649,1.98490401001629
"cond.254","cond","variable:food.microbes","(Intercept)","ASV0023:Bamboo_MMO",-0.351906918307998,5.47443990400809
"cond.255","cond","variable:food.microbes","(Intercept)","ASV0023:Larval food_ALL",-1.52061495352668,4.26387378692783
"cond.256","cond","variable:food.microbes","(Intercept)","ASV0023:Larval food_ECO",-0.00382849201679641,6.31658686931021
"cond.257","cond","variable:food.microbes","(Intercept)","ASV0023:Larval food_EMO",-4.0004739618033,3.288092635546
"cond.258","cond","variable:food.microbes","(Intercept)","ASV0023:Larval food_MEM",-3.86654531107607,3.31006870380974
"cond.259","cond","variable:food.microbes","(Intercept)","ASV0023:Larval food_MMO",-0.166920197240476,5.86620659129355
"cond.260","cond","variable:food.microbes","(Intercept)","ASV0024:Bamboo_ALL",-0.56821549048983,1.93671587213282
"cond.261","cond","variable:food.microbes","(Intercept)","ASV0024:Bamboo_ECO",-0.0675113423796291,6.12658111706304
"cond.262","cond","variable:food.microbes","(Intercept)","ASV0024:Bamboo_EMO",0.915844021297587,1.91711837744688
"cond.263","cond","variable:food.microbes","(Intercept)","ASV0024:Bamboo_MEM",-1.23802592875341,1.93530743637562
