,LB10,LB11,LB12,LB18,LB19,LB20,LB21,LB22,LB3,LB4,LB5,LB7,LB9,LL11,LL12,LL18,LL19,LL21,LL22,LL3,LL5,LL6,LL7,LL8,LL9,WB11,WB14,WB15,WB16,WB17,WB25,WB27,WB29,WB7,WB8,WB9,WL11,WL12,WL14,WL15,WL23,WL24,WL26,WL27,WL5,WL7,WL8,WL9
K03434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K03435,173,141,178,784,470,695,170,814,782,891,737,1987,162,27,39,357,631,223,311,470,492,215,121,366,58,4034,1080,1296,1192,1034,1626,1220,2037,3852,6322,1857,1738,2111,2313,1541,3128,2816,4261,2217,5568,5532,5124,7475
K03436,5472,4385,4010,2014,8256,6757,1151,1871,1452,2205,1561,4409,1715,221,110,551,1224,50,277,474,502,329,56,362,198,4790,1938,2872,2405,1916,3037,1348,3171,3539,7420,2235,3226,4845,3188,3358,5853,3773,5244,2920,4226,4963,3258,8301
K03437,2092,1581,1536,746,3541,2511,585,563,445,815,677,1301,656,124,17,143,384,120,30,140,0,76,54,78,171,5619,3664,4615,3503,4051,6014,3902,5969,4428,5040,3058,7181,7363,5899,7012,7918,6538,7733,6235,6081,6851,5941,5178
K03438,2454,1974,1861,1749,4333,3522,848,1125,2412,1661,1681,3605,774,145,63,1938,2547,160,397,488,229,242,101,450,443,9019,4525,5951,4531,4922,8052,5487,8579,7902,8634,4894,8645,8817,7294,8216,9948,8309,10785,8046,9652,9954,8570,8840
K03439,1980,1578,1645,1570,3717,2829,698,983,1907,1267,1370,2961,617,108,53,1779,2372,139,357,471,191,150,95,446,436,6997,3490,4554,3522,3740,5862,3673,6280,6523,6950,3742,6819,7194,5620,6501,8015,6537,8041,6213,7145,7479,6742,6517
K03442,285,609,670,900,610,959,140,438,641,370,1121,1926,304,113,38,288,443,222,166,535,154,121,93,456,201,9663,7877,9394,7629,8788,14630,10420,11530,9620,12982,6761,13163,14734,11230,14151,17083,12601,16578,12360,18246,18044,17494,16360
K03444,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1505,2120,1278,1350,2698,1506,2706,0,294,158,1181,1417,927,1260,1921,902,1793,657,0,0,0,396
K03445,700,285,252,639,872,943,92,634,652,934,1122,1635,268,23,56,816,1324,65,227,137,210,136,27,372,127,2545,4011,6970,4884,6737,12573,10446,6100,3466,4722,1635,5278,4002,3529,6560,5722,5993,7705,5310,1704,1440,2567,3047
K03446,4543,3707,3859,5730,8482,7036,2047,2804,5256,3338,3798,9838,1816,514,126,9119,12231,726,1893,2293,575,561,282,1761,2264,42349,25778,30510,26103,26410,39385,27418,44673,40479,42611,24932,45484,45863,35703,44048,50276,41221,52354,37562,48281,49579,46129,36895
K03448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
K03449,3061,2451,2313,1155,4078,3758,972,622,1009,752,1136,3004,1020,11,0,104,416,28,20,156,0,0,52,105,232,2637,2088,2795,2803,1950,3032,2345,4037,5121,4857,2625,3453,4020,3309,5020,5727,4220,5100,3932,4308,5105,3788,3621
K03451,0,0,0,1103,596,1151,174,1104,1238,1285,1044,3308,0,0,14,438,919,115,427,687,694,367,180,32,0,5268,287,833,249,938,298,174,522,3404,6822,1743,799,1515,958,413,2100,1497,1623,1291,10228,9259,10044,11558
K03453,1745,1563,1316,1144,3038,2556,537,638,1711,965,1244,2294,625,13,50,129,257,14,127,124,217,96,43,317,39,2022,1563,2639,2188,2344,5217,4013,2387,2580,2343,1221,2945,1707,2077,3562,2992,3452,4528,3108,660,795,927,1698
K03455,1881,1408,1420,2874,4777,3235,902,1993,6374,2968,3655,8712,806,502,161,8274,11586,599,1478,1759,343,273,289,1209,2040,17891,10696,12594,10106,11097,15099,10787,18323,15188,18615,9733,17086,19619,15523,14677,21622,16391,20842,16195,22974,24278,21260,21333
K03457,481,388,486,1417,794,1613,758,1408,1997,2329,1763,4391,610,287,86,539,1005,204,519,980,821,405,207,849,281,9340,4230,6764,5751,6061,11148,8790,6907,14444,13990,6290,9765,9382,6772,10146,11161,11846,14506,11730,12421,13606,9794,16244
K03458,2520,2068,2011,1460,4113,3947,754,1107,5073,3399,4006,6046,897,37,0,325,723,138,259,389,277,265,146,152,109,4221,3437,5300,3529,5067,9739,8138,5151,6257,5187,2549,5998,5013,4300,6044,6901,6801,7334,6501,7477,7652,6656,8028
K03462,0,0,0,0,0,13,0,0,0,6,31,10,0,0,0,20,211,8,0,35,0,0,0,50,8,119,2724,3848,2423,3954,5552,4669,3072,55,355,194,2542,3130,1365,2613,2799,2032,2121,1377,40,7,28,575
K03464,23,25,50,105,71,109,33,123,476,365,181,588,44,12,4,47,85,30,48,35,87,35,6,96,3,2574,1341,1830,1131,1547,2407,1906,2230,2269,2089,1226,1821,1826,1545,1453,2164,1751,2289,1585,1962,2035,1995,1738
K03465,0,60,9,194,130,49,35,128,1310,583,281,1273,41,0,0,0,0,0,0,0,0,31,6,0,0,43,144,173,148,90,278,137,407,36,155,7,57,29,88,28,60,79,90,56,37,16,14,20
K03466,19353,15610,15000,8838,32484,25628,5756,6071,11820,9747,9084,20435,5700,370,149,9314,12171,524,1821,2101,623,590,293,1725,2581,29675,13214,16278,13516,14375,22227,14842,22882,24428,28629,14271,22854,26578,21074,22351,28538,23863,29250,21941,29501,30674,27814,27116
K03468,240,260,381,730,474,655,158,754,693,781,600,2027,256,19,99,197,428,49,222,279,425,247,94,461,22,2651,384,329,519,218,500,234,433,2146,4820,999,641,638,650,545,1004,1073,2075,927,1372,1327,1131,3084
K03469,1424,1182,1150,875,2477,2060,454,555,1457,972,1199,2491,493,87,16,1134,1469,95,202,267,105,76,74,265,315,7462,2674,3119,2431,2412,2908,1760,4904,6541,6706,4071,4768,6267,4180,4236,5868,4196,5030,3503,7194,7101,6166,5663
K03470,1817,1194,1311,1141,2672,2460,547,974,1511,1042,1154,2485,485,79,30,1244,1810,129,277,242,123,103,45,269,359,6551,3138,4365,2795,3270,4857,3087,5305,6026,6182,3605,5819,6058,4493,5147,6671,5013,6235,4911,6358,6654,5868,6077
K03471,0,0,0,121,176,249,0,176,0,146,122,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,39,0,0,0,0,8,0,0,0,30,10,80,0,39,37,15,0,105,158,21,51
K03472,108,137,175,342,219,313,71,362,403,405,335,1046,125,15,30,117,219,15,137,154,195,120,41,239,12,1557,141,180,250,77,263,112,182,2558,2395,1166,365,335,355,242,566,546,1118,520,655,697,558,1554
K03473,110,93,125,332,165,329,46,392,400,413,313,1017,124,0,39,98,213,8,106,111,251,124,15,242,18,1542,1180,2087,1624,1979,4243,3188,1610,2469,2474,906,2229,1077,1634,2532,2001,2603,3586,2915,659,778,516,1681
K03474,865,551,611,944,1741,1251,408,576,1436,904,873,2105,269,91,21,1535,1909,127,349,432,198,97,84,307,353,6572,3667,4633,3307,3744,5964,3909,6515,6374,7015,4029,6444,6744,5033,6135,7233,5936,7371,5530,7121,7147,6473,6769
K03475,448,479,584,890,869,996,94,945,471,1036,840,1324,545,66,112,165,302,14,126,149,277,239,75,902,39,1930,425,560,659,479,746,492,506,1509,4372,1036,1580,1148,1516,1187,1866,1982,4604,1830,1074,1305,782,2231
K03476,333,405,601,266,89,412,256,173,0,0,0,0,287,40,34,0,42,8,0,0,0,74,13,291,13,11,108,197,195,123,50,86,162,24,215,105,380,292,342,288,352,432,960,399,0,25,0,0
K03477,906,588,607,461,1514,758,311,276,0,7,0,11,318,83,16,0,62,45,0,8,0,0,0,215,94,185,588,933,717,764,820,760,1575,216,395,93,646,1080,476,385,1010,635,1314,544,0,96,73,12
