,LB10,LB11,LB12,LB18,LB19,LB20,LB21,LB22,LB3,LB4,LB5,LB7,LB9,LL11,LL12,LL18,LL19,LL21,LL22,LL3,LL5,LL6,LL7,LL8,LL9,WB11,WB14,WB15,WB16,WB17,WB25,WB27,WB29,WB7,WB8,WB9,WL11,WL12,WL14,WL15,WL23,WL24,WL26,WL27,WL5,WL7,WL8,WL9
K09749,0,0,0,0,3,4,0,0,0,0,29,10,0,0,0,47,149,0,0,14,0,93,0,0,0,132,151,618,410,423,208,30,790,80,58,101,660,1501,857,488,1619,943,842,1667,67,14,543,46
K09753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
K09758,2032,721,758,1539,4728,2116,459,780,226,27,1629,375,473,0,9,27,213,0,8,0,0,0,0,94,0,278,412,947,519,787,757,342,1000,107,621,60,652,600,687,1175,1817,710,699,576,34,137,35,48
K09759,0,0,0,0,6,8,0,0,0,0,41,30,0,0,0,25,159,0,0,20,0,87,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,121,70,146,23,46,0,52,53
K09760,3440,2567,2559,2082,6018,4412,1133,1514,2982,2121,2048,4993,1071,207,79,2528,3436,273,568,857,346,238,190,703,653,12788,5083,5344,4403,4211,5750,3052,9134,11313,12091,6486,9478,11411,8455,9281,12336,8012,11045,7682,11162,13034,11393,11125
K09761,2054,1647,1678,1524,3860,3020,696,925,1648,1347,1242,2885,599,104,30,2587,3382,169,513,605,176,116,107,446,624,7652,4888,7382,5179,5844,9972,7330,8505,7729,7328,4359,7692,7189,6078,8107,8690,7607,9976,7381,8056,8050,6639,7472
K09762,1446,1309,1257,409,2613,2168,386,453,407,562,547,922,437,0,0,35,149,0,0,0,0,73,8,0,48,226,26,0,81,11,38,0,6,176,113,96,79,27,113,49,205,119,178,118,129,155,54,64
K09763,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,0,23,10,0,0,0,0,0,0,0,0,0
K09764,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,4,43,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,13,7,64,40,48,17,24,0,6,15
K09765,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,138,257,0,33,18,0,0,0,13,24,194,625,1023,903,836,2285,1496,1165,140,640,81,1486,1001,987,1908,1924,1427,2067,1896,73,189,0,34
K09766,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,7,113,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,43,0,0,28,60,65,32,148,107,162,103,46,0,16,17
K09767,1001,924,838,380,1482,1249,329,332,422,629,478,1179,320,41,22,165,306,49,91,230,115,98,38,191,35,2159,1592,2141,1891,1970,3197,2330,2631,2040,2915,1126,2441,2693,2250,2361,3167,2794,3618,2864,2680,3052,2749,3321
K09768,710,382,435,796,1302,958,312,497,876,647,624,1326,153,64,16,1078,1528,45,216,272,112,111,30,229,212,3841,1653,2210,1670,1873,2909,2078,2479,3950,3999,2340,2612,2631,2391,2355,3034,2514,3487,2774,3958,4399,3595,3298
K09769,912,519,544,1049,2182,1197,396,580,1341,713,835,1453,209,121,20,1685,1931,72,227,254,0,23,0,119,425,484,162,167,195,175,345,102,511,287,182,126,79,36,77,47,88,62,87,91,8,49,40,0
K09770,0,0,0,0,0,0,0,0,0,0,13,7,0,0,0,15,67,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,17,0,4,40,20,32,23,72,74,141,69,30,0,15,17
K09771,942,852,841,578,1764,1200,301,380,675,438,425,940,337,53,0,71,218,34,42,126,96,43,41,104,30,3327,1230,1485,1003,1278,1982,1309,1587,2680,3115,1633,2167,2349,1700,1660,2367,1852,2288,1755,3481,3639,2828,2732
K09772,744,793,731,230,1358,1289,231,282,176,415,362,547,324,11,0,15,68,0,0,0,0,33,0,0,18,177,18,0,21,8,13,0,19,84,55,39,51,55,151,86,131,85,175,93,52,92,29,60
K09773,2666,1745,2029,1462,4434,3221,868,999,2036,1406,5665,3502,785,36,39,1830,2276,129,295,442,136,104,83,377,263,8020,3071,4195,2692,3366,5319,3762,5492,7122,7520,4285,5477,5569,4666,4590,6356,5053,6420,5168,9160,8808,7414,7289
K09774,868,533,596,943,1644,1110,376,500,1258,685,839,1934,237,116,30,1594,1863,133,343,412,174,104,64,360,324,5550,2236,2936,2133,2350,3366,2671,4029,4842,5396,2898,3939,4034,3508,3431,4906,3881,4784,3877,6649,6491,5653,5740
K09775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,311,105,163,197,19,98,0,0,6,111,173,134,33,131,84,71,125,52,48,0,0
K09776,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,445,335,538,411,547,206,831,28,22,0,1247,1310,775,1455,1256,919,1281,940,0,0,0,0
K09777,0,0,0,0,0,0,0,0,0,0,14,9,0,0,0,15,46,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,18,0,0,7,9,38,15,62,48,49,63,12,0,4,7
K09778,803,442,474,657,1140,775,292,334,949,455,558,1043,174,0,0,0,20,0,0,0,0,0,0,57,8,109,29,191,59,91,297,93,160,44,21,0,0,50,0,14,16,0,17,8,0,0,0,0
K09779,0,14,26,38,33,28,16,11,0,0,0,0,0,0,0,570,718,15,74,51,0,39,0,19,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,32,66,9,7,0,15,17
K09780,1337,1068,985,683,1866,1641,425,412,839,616,645,1447,423,284,75,863,1108,86,140,210,57,48,6,366,350,1512,1488,1987,1920,1799,2888,2185,2619,1778,2590,922,2611,2063,1930,2796,2812,2854,3591,2702,1942,2203,1829,2425
K09781,1493,899,778,558,1750,1440,370,212,492,265,614,1004,302,0,0,92,154,39,43,148,10,8,45,41,22,5986,3673,4365,3417,3952,6385,4472,5253,6180,6208,3935,6389,7027,4930,6126,6878,5539,7550,5378,7259,7335,6326,4820
K09786,174,229,261,953,599,758,193,495,761,469,981,1743,224,51,37,308,473,166,191,415,192,137,102,416,23,3253,1039,1005,1139,782,769,342,1177,3874,5615,2053,2745,4273,3157,2184,4862,3850,4307,3581,6483,7104,6314,7433
K09787,0,0,0,67,115,94,14,92,0,77,97,8,0,0,0,6,57,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,25,0,0,30,0,63,17,63,71,74,63,53,98,7,30
K09788,0,0,0,221,94,10,4,49,340,94,54,562,0,0,0,361,562,91,47,184,0,0,32,97,6,6853,2879,4027,2596,3372,5836,3986,4852,6967,6296,4204,6448,6865,5511,5568,7547,6191,7015,5991,9174,9943,8994,6863
K09789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,163,98,144,328,173,264,0,0,0,97,0,211,499,623,71,61,222,0,0,0,0
K09790,520,409,554,693,987,651,297,413,717,475,448,1008,269,5,16,45,98,14,64,67,92,119,27,117,0,3315,1636,2428,1711,2157,4146,3312,2301,3822,2785,2114,3018,2501,2070,2563,2660,2874,3641,3030,2312,2198,2131,1631
K09791,422,207,275,362,745,463,181,245,651,376,422,890,153,41,9,610,858,29,156,186,48,33,27,142,149,2693,604,621,422,574,457,242,1051,2307,2520,1314,1208,1592,1336,916,1651,1267,1458,1090,2937,3315,2598,2576
K09792,29,105,103,89,147,100,32,78,199,59,134,441,4,6,0,141,315,43,18,104,0,16,42,44,0,1320,1353,1684,1578,1345,1606,792,2502,1562,1812,799,2772,3659,2507,3098,4265,3049,3620,2708,2963,3323,3249,3448
K09793,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,39,96,0,11,101,8,0,31,12,0,393,117,246,208,117,57,21,116,185,1009,212,995,842,829,1045,1066,1098,1037,880,1910,2012,1528,1717
K09794,30,36,53,149,90,146,37,156,508,306,210,551,0,22,20,59,117,19,35,107,42,29,9,106,31,780,189,123,258,93,37,46,297,1222,1013,526,296,394,394,275,441,518,422,515,1474,1502,1187,1522
K09795,1290,598,727,893,2012,1350,380,424,1530,781,862,1767,284,86,27,2180,2496,66,323,287,7,29,5,227,584,626,254,197,164,319,244,44,440,1700,323,681,26,87,76,13,191,147,12,35,25,46,16,352
K09796,2337,1763,1841,1224,4449,2760,886,656,1572,839,635,2047,727,113,16,2731,3330,165,379,522,16,22,78,353,823,5519,2138,2843,1843,2049,2482,1911,4843,4731,5157,2800,2942,4325,3374,2453,4591,3316,3922,2928,8444,8853,7519,7393
K09797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,371,356,740,510,798,831,443,905,285,344,121,1587,1154,821,1871,1619,1156,1660,1221,0,0,0,7
K09798,239,177,210,925,867,893,109,566,919,657,1037,1911,215,98,50,1956,2361,67,320,396,220,161,43,346,458,1472,175,191,284,273,287,96,316,2092,2370,1048,389,338,355,268,451,490,1101,447,622,627,630,1566
K09799,0,26,0,40,48,0,0,0,0,0,0,4,0,0,0,6,56,5,0,0,0,0,0,31,28,148,2836,4946,3335,4756,7960,6609,5230,425,242,339,3016,1630,1620,4016,2611,2762,3289,3386,198,126,7,11
K09800,4608,2480,3094,4549,8150,6113,1558,3054,7125,4249,4206,9917,1432,505,232,7696,9701,554,1610,2119,790,511,375,1595,1696,47850,16213,20928,13851,17361,25761,19878,26505,42908,44456,25646,29182,31692,24993,24032,32762,25177,31497,24266,49879,50464,44021,37781
K09801,35,47,71,112,85,92,17,128,151,169,92,387,45,17,22,79,175,40,87,118,73,68,16,110,12,1245,787,1222,965,925,1739,1370,1360,618,1764,433,1572,1443,1320,1428,2095,1774,2139,1818,1882,2258,1977,2379
K09802,60,48,41,148,85,141,29,134,119,179,148,361,62,20,16,33,84,11,42,49,85,22,31,77,0,550,105,113,131,68,204,92,211,425,918,181,135,106,146,108,210,186,401,206,229,272,223,659
K09803,255,239,220,228,355,482,256,153,961,645,182,1037,82,60,44,1078,1151,112,161,166,0,0,0,33,268,1076,611,1137,747,740,860,1038,2144,519,586,1240,443,980,918,585,905,1056,553,1770,994,1332,1339,870
K09804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
K09805,38,0,0,380,197,295,56,411,338,476,356,1027,0,0,0,115,193,20,151,145,212,96,47,0,10,1575,77,36,373,94,86,74,200,1254,1461,538,1443,586,686,1503,1201,1249,1489,1147,793,1324,698,1585
K09806,472,265,314,563,911,573,227,374,711,429,451,1004,152,46,15,748,997,53,192,219,114,81,35,213,150,3145,1335,1650,1204,1548,2264,1737,1782,2956,2978,1623,1966,1952,1753,1626,2048,2049,2614,1934,3296,3431,2881,2800
K09807,2032,1524,1426,1126,3122,2363,567,760,1484,1015,1226,2302,639,97,22,210,411,70,94,149,177,129,12,258,80,5651,1719,1663,1642,1568,2091,990,2841,5237,5373,3225,4128,5263,3270,4011,4862,2964,4763,3050,4531,4462,4452,3502
K09808,1623,870,1085,2014,2932,1995,747,1247,2831,1899,1736,4684,594,132,120,2573,3500,196,619,740,428,314,70,642,510,13607,7911,10134,7876,8253,12769,8483,13327,13680,14599,8031,13315,13959,10788,12695,15196,12032,15568,11146,10676,11989,10386,11929
K09809,6805,6473,5886,1458,10290,8956,1825,1138,1821,3033,1557,5478,2123,23,19,16,385,0,0,0,0,129,8,305,115,552,1427,1031,3155,1272,2828,1301,1507,671,237,260,7278,3945,4311,7188,5488,6367,8300,6660,530,260,8,72
K09810,863,461,549,946,1417,1074,355,585,1381,1013,802,2187,231,115,12,1482,1963,110,260,331,117,161,46,280,309,6894,3627,4927,3451,3857,6208,4388,6897,6534,7028,3884,5605,6075,4863,5326,6902,5260,6485,5016,5917,6799,6081,6042
K09811,2732,1978,2009,1766,4841,3688,877,1219,2361,1770,1647,3837,923,141,52,2009,2850,96,370,582,275,264,120,416,515,8700,3250,3435,2747,2660,3449,1878,5550,7373,8228,4052,5693,6622,4849,5305,6779,4704,6067,4748,8539,8352,7232,6665
K09812,2307,1938,1806,1442,4081,3289,890,992,1857,1437,1362,3179,803,92,28,1502,2055,88,308,431,207,138,104,326,435,7284,2680,2612,2293,2256,2923,1494,4173,6542,6834,3845,4849,5289,4152,4463,5503,4076,5266,4055,6973,7200,5900,6058
K09815,178,249,240,686,528,706,144,709,436,747,617,1290,182,127,28,171,450,63,126,202,320,149,60,400,113,1930,1462,2516,2036,2197,4712,3643,2132,2985,3267,1328,2426,1135,1815,2498,2292,2747,4443,2770,1085,1404,791,2230
K09816,115,113,105,452,346,576,65,411,308,460,362,778,124,102,8,123,288,30,88,127,160,71,18,145,87,1234,1450,2348,2023,2206,4314,3818,2027,2117,1820,880,1979,925,1327,2057,1743,2290,3121,2346,499,720,523,1262
K09817,101,98,116,403,309,504,48,402,273,414,402,674,125,79,24,115,301,46,78,122,147,84,0,165,82,1173,1324,2289,1916,2383,4328,3532,1946,2142,1816,882,1960,997,1334,1949,1702,2302,3323,2349,624,752,512,1246
K09818,2160,2161,1871,350,3541,3003,696,374,0,0,0,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09819,1434,1331,1066,269,2302,1848,343,263,21,0,62,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,70,17,32,0,19,55,10,37,0,0,0,0,0,0,0,0,0,0,0,0
K09820,1182,1076,902,237,1595,1557,305,244,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
K09822,45,184,256,174,193,182,68,39,8,0,107,0,64,0,0,160,321,118,54,37,0,0,0,19,0,451,112,191,115,218,110,53,376,543,211,827,705,1491,1343,479,1442,1288,1099,800,1506,1593,3880,0
K09823,737,392,478,828,1184,954,306,438,1019,575,636,1483,257,76,40,1229,1953,55,188,313,112,82,60,306,403,4162,2721,4015,2794,3518,5182,4286,4561,4379,4438,2443,3022,3211,2633,2750,3592,3094,4405,2945,4656,4667,4206,4271
K09824,118,91,114,259,148,175,39,236,203,290,244,607,126,12,24,150,319,36,109,223,135,71,68,232,21,1931,584,503,805,407,342,144,600,1065,3600,796,1125,1898,1856,1407,2285,2079,2226,2152,3329,3748,3269,3455
K09825,0,0,0,0,0,10,0,0,0,0,24,0,0,0,0,10,60,0,0,0,0,15,0,0,0,2,8,96,0,54,17,31,29,42,0,2,140,350,148,201,159,80,347,148,33,13,23,24
K09826,595,365,413,649,1421,996,267,347,1139,658,702,1388,152,81,24,3029,3802,80,456,377,12,8,0,247,676,900,79,35,91,79,87,51,384,354,322,116,28,36,36,20,37,54,29,29,0,15,13,5
K09828,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
K09834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09835,0,179,149,156,199,130,14,24,0,0,17,23,0,0,12,0,0,0,0,9,0,0,0,0,0,127,0,90,6,26,10,11,0,122,114,0,9,145,0,0,33,0,39,6,0,12,0,26
K09836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,507,0,50,57,0,0,0,0,0,0,398,339,295,247,356,83,565,25,188,89,309,778,222,50,265,140,189,0,0,0,0,279
K09837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
K09838,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,38,0,0,6,5,5,0,7,0,22,8,40,12,39,0,13,9,0,0,0,0,0,7
K09841,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,38,23,0,11,0,5,0,0,0,0,0,11,0,0,21,0,9,0,0,0,0,3
K09842,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09844,21,37,69,51,113,87,28,27,182,4,0,379,22,0,0,1542,1688,17,222,184,0,4,6,58,304,0,0,12,22,38,48,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09845,31,130,74,210,444,306,64,83,530,272,161,1310,8,8,0,2594,3137,62,404,391,16,16,0,160,542,688,14,25,35,96,116,15,293,221,211,80,27,8,0,0,14,0,0,0,0,0,32,0
K09846,24,50,109,162,162,58,30,30,267,29,8,456,5,0,0,2102,2640,35,337,278,15,6,0,102,477,66,21,64,17,48,37,0,53,13,0,0,0,0,0,0,9,0,0,0,0,0,0,0
K09847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,95,161,115,250,56,416,28,0,5,221,536,227,50,130,52,167,0,0,0,0,0
K09857,63,62,80,278,180,161,45,171,528,395,336,1191,78,4,10,92,175,11,88,179,121,45,38,99,5,1460,970,1319,1351,1133,3023,2473,1784,1876,2495,749,1958,1735,1428,1854,2337,2348,2726,2391,1885,2150,1333,2565
K09858,603,692,659,337,1198,1061,288,285,487,512,319,1466,261,50,19,1143,1410,118,250,343,90,83,53,137,306,2906,1564,2054,1981,2107,3176,2464,2366,1784,3013,1064,3074,3160,2439,3206,3866,3277,4594,3933,2683,2792,2449,3194
K09859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,456,1114,277,956,789,281,953,1887,37,692,56,184,172,35,199,151,347,33,15,0,0,4
K09860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,121,0,10,99,0,0,39,9,0,570,138,285,118,96,144,186,604,267,1182,157,291,531,435,166,516,376,359,392,2191,2644,1829,1915
K09861,1193,1193,1097,530,1761,1829,347,495,577,749,531,1576,467,26,23,278,418,72,119,266,189,180,87,257,46,5875,2676,3253,2750,3072,4604,3330,4619,5724,6376,3423,5574,5304,4740,5573,6384,5774,6606,5448,7150,7674,6556,6323
K09862,351,218,199,350,739,438,139,257,524,271,352,796,104,15,10,596,816,50,107,153,63,47,25,151,175,2615,1027,1299,981,1289,1935,1532,1777,2249,2343,1339,1693,1906,1335,1263,2084,1628,2051,1625,2803,2610,2188,2756
K09866,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
K09869,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,7,198,0,0,0,0,0,10,0,0,0,0,0,0,0
K09872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,181,0,0,0,0,0,0
K09873,0,0,0,0,0,0,0,0,0,71,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K09874,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,24,31,0,41,16,6,26,0,20,251,0,11,9,0,0,0,0,0,0,0,0,0
K09879,22,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
K09880,1589,747,774,850,2673,1309,477,748,499,259,299,1050,476,16,19,87,129,18,97,95,145,91,34,158,8,1070,482,607,456,472,748,599,890,764,1855,454,274,327,238,224,418,421,820,413,464,523,483,1188
K09881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,232,179,186,380,172,371,0,0,0,123,0,162,563,860,96,79,225,0,0,0,0
K09882,1154,703,729,1152,2314,1448,488,560,1607,840,911,1843,321,133,18,2161,2784,121,273,288,7,25,4,223,584,5810,1716,1907,1240,1564,1589,1088,3066,5305,4199,3138,2510,3038,2054,2115,2402,1768,2278,1516,4537,4495,3658,2438
K09883,1993,1067,1296,1988,4057,2533,929,857,2801,1224,1543,3009,392,196,61,3389,4502,163,504,430,29,22,17,383,920,10146,2761,2939,1800,2405,2507,1680,4856,9049,7201,5688,4076,4993,3535,3553,4055,2952,3881,2294,7486,7638,6429,4074
K09884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
K09885,0,24,52,0,36,0,23,0,7,186,22,147,0,0,0,0,31,22,0,0,0,0,0,0,0,0,7,0,0,30,0,0,27,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
K09888,595,248,373,615,1115,869,219,426,924,594,601,1184,170,61,41,941,1190,64,207,263,116,63,40,228,244,3670,1690,2297,1823,1966,2807,1809,3109,3764,3416,2031,3133,3391,2625,3107,3696,3075,4086,2903,3898,4013,3466,3674
K09889,67,70,102,297,93,178,45,276,240,264,252,688,81,43,0,172,222,88,59,267,134,92,89,225,31,2174,1467,2134,1656,1722,2958,2517,2437,1883,2921,983,2564,2362,2318,2402,3461,3028,3971,3208,3448,3559,3059,3971
K09890,40,27,75,119,60,112,17,105,118,137,95,312,53,7,13,30,66,9,49,51,77,39,9,119,4,417,42,44,95,22,99,38,54,615,789,279,98,85,117,64,147,170,327,144,199,210,210,472
K09891,79,62,166,252,136,200,29,272,243,222,229,702,105,24,43,80,126,15,88,108,188,55,31,181,8,893,97,149,208,116,155,80,111,740,1512,318,226,183,215,168,331,332,750,331,438,429,360,1091
K09892,38,30,48,141,67,128,17,137,119,141,137,324,59,5,26,58,67,25,35,62,90,41,17,105,23,703,201,1158,283,99,496,267,219,798,1749,821,361,371,543,822,2006,892,665,575,516,277,650,2257
K09893,49,53,110,228,86,167,48,179,226,219,195,593,72,23,4,73,119,0,54,69,117,70,15,130,6,767,71,62,120,50,124,62,85,607,1168,270,168,131,213,132,294,267,598,268,413,393,296,920
K09894,107,76,144,281,88,219,30,238,187,263,229,609,129,19,24,86,137,21,98,93,118,91,27,171,11,870,133,92,142,65,172,91,102,704,1347,295,160,182,197,168,277,294,649,289,428,413,387,972
K09895,73,64,89,226,119,215,24,281,223,269,212,653,107,13,5,74,126,9,73,86,148,92,16,135,17,897,735,1332,1049,1128,2469,1904,905,1498,1495,658,1410,709,877,1422,1209,1469,2181,1722,467,487,417,1015
K09896,43,54,61,93,84,148,20,162,150,145,145,369,78,16,17,58,111,16,59,70,89,55,9,93,0,616,71,81,71,45,92,40,47,424,806,183,147,102,122,119,217,213,473,240,342,303,210,563
K09897,80,53,79,195,87,180,33,177,155,205,145,476,89,8,23,48,91,8,71,73,111,76,7,87,13,612,75,77,168,42,103,39,78,541,962,210,147,167,150,110,195,232,589,227,325,308,285,717
K09898,54,34,51,139,77,105,19,125,124,150,123,410,38,25,0,34,77,16,34,50,77,60,14,83,0,513,35,21,96,26,73,40,53,770,710,342,95,71,99,74,153,171,293,132,231,195,194,585
K09899,49,53,89,148,110,157,18,181,185,221,156,563,56,12,10,48,108,0,78,84,104,63,22,96,0,765,74,65,131,43,78,61,58,587,1325,274,170,106,188,124,248,284,549,289,348,416,273,849
K09900,23,30,33,134,67,101,6,143,107,138,147,363,39,3,0,45,78,6,52,36,63,49,23,63,9,586,29,53,70,26,50,28,42,338,680,175,115,100,81,104,108,145,423,185,224,211,236,537
K09901,48,40,43,117,72,148,18,131,121,180,93,319,47,0,0,37,91,0,43,47,57,35,10,78,0,656,68,45,97,31,51,35,39,453,1049,182,131,91,135,117,173,200,372,193,240,265,236,590
K09902,54,30,40,121,79,98,16,122,146,128,121,394,60,10,16,47,72,16,36,61,72,23,10,69,0,583,383,662,489,634,1339,1055,526,842,859,354,806,359,551,839,784,906,1300,1022,255,260,194,562
K09903,1898,1526,1422,1305,3222,2784,735,1030,1734,1342,1274,2842,596,96,35,1479,2040,110,284,428,171,160,61,370,366,6934,3633,4680,3274,3392,5783,3691,6158,6199,6763,3670,5548,5496,5011,5705,7264,5430,7002,5123,6507,7022,6357,6481
K09904,29,36,53,92,59,93,21,121,158,158,98,300,65,5,0,15,71,0,46,34,56,36,12,55,0,496,30,44,62,13,69,35,62,317,750,160,112,76,96,98,144,164,318,143,225,225,195,461
K09906,61,55,54,197,105,194,34,202,215,240,201,489,53,0,13,67,136,7,74,79,125,41,5,141,6,783,755,1611,1088,1382,2928,2372,1133,666,1458,352,1519,581,759,1473,1271,1697,2230,1695,407,469,350,999
K09907,58,56,103,139,84,165,48,192,183,177,159,537,67,0,9,50,118,8,58,78,119,58,14,139,12,901,67,53,103,34,106,27,80,603,1391,324,218,204,198,156,271,275,624,234,341,370,297,808
K09908,78,58,80,182,98,207,15,197,184,219,160,545,91,0,35,43,106,0,60,72,126,68,36,100,17,755,58,64,171,57,161,62,60,1203,1140,551,204,144,188,153,238,255,567,205,360,362,242,804
K09909,0,0,0,179,126,185,41,253,241,296,251,648,0,0,0,71,157,21,87,82,108,93,18,0,8,1000,608,1140,829,1055,2239,1803,893,769,1685,372,1328,492,697,1296,1088,1389,1663,1604,420,456,366,1152
K09910,60,62,64,158,102,133,29,187,154,196,149,443,65,14,21,53,74,12,51,95,100,67,20,121,14,599,56,71,106,71,107,61,69,459,997,244,159,148,133,117,189,221,480,218,282,330,211,737
K09911,62,52,71,150,104,146,16,186,202,188,188,514,66,16,30,68,112,12,49,72,99,37,19,134,8,700,94,97,132,59,116,64,66,506,1258,241,169,158,122,128,254,251,486,262,327,380,269,810
K09912,56,51,67,180,109,153,24,212,227,209,222,594,84,11,0,77,97,13,63,119,166,39,33,142,8,826,565,1071,765,897,1949,1321,956,1402,1476,663,1479,726,828,1398,1210,1437,1983,1871,359,404,331,924
K09913,39,37,52,123,43,115,14,142,112,155,96,334,46,22,10,117,156,24,66,115,91,45,34,103,28,1205,1063,1721,1343,1480,2259,1889,1868,1063,1869,580,1885,2046,1733,1774,2215,2105,2782,2110,1914,2244,1856,2216
K09914,1099,447,438,815,2644,1190,250,450,415,248,510,1018,202,8,0,67,106,0,86,85,119,60,11,0,0,1253,1174,1495,1336,1397,3911,3086,1027,910,1560,577,2012,1076,1382,1527,1875,2152,2846,2597,1219,1108,1088,1727
K09915,88,81,65,193,161,284,43,239,229,527,294,619,72,0,18,191,259,90,84,212,119,93,44,169,0,2078,854,698,884,620,1066,460,1519,2495,3266,1244,1805,2963,1882,1621,2979,2030,2640,1895,3968,3896,3514,4491
K09916,26,30,41,119,48,88,30,118,78,116,107,336,37,6,10,65,88,0,32,39,77,46,11,109,0,564,394,687,596,544,1309,989,537,876,798,386,753,357,470,762,754,824,1034,876,212,246,205,551
